site_D1_bins_10	{'Translation table': 11, 'GC std': 0.02946081575450919, '# ambiguous bases': 0, 'Genome size': 519134, 'Longest contig': 7802, 'N50 (scaffolds)': 3301, 'Mean scaffold length': 3327.7820512820513, '# contigs': 156, '# scaffolds': 156, '# predicted genes': 596, 'Longest scaffold': 7802, 'GC': 0.4729877064495872, 'N50 (contigs)': 3301, 'Coding density': 0.9155747841597738, 'Mean contig length': 3327.7820512820513}
site_D1_bins_1	{'Translation table': 11, 'GC std': 0.014804342281061417, '# ambiguous bases': 0, 'Genome size': 1281674, 'Longest contig': 21174, 'N50 (scaffolds)': 6025, 'Mean scaffold length': 5318.149377593361, '# contigs': 241, '# scaffolds': 241, '# predicted genes': 1446, 'Longest scaffold': 21174, 'GC': 0.449015116168386, 'N50 (contigs)': 6025, 'Coding density': 0.9434903103285235, 'Mean contig length': 5318.149377593361}
site_D1_bins_11	{'Translation table': 11, 'GC std': 0.015969160553784004, '# ambiguous bases': 0, 'Genome size': 993108, 'Longest contig': 16730, 'N50 (scaffolds)': 4623, 'Mean scaffold length': 4514.127272727273, '# contigs': 220, '# scaffolds': 220, '# predicted genes': 1142, 'Longest scaffold': 16730, 'GC': 0.6267203566983651, 'N50 (contigs)': 4623, 'Coding density': 0.9453694865009646, 'Mean contig length': 4514.127272727273}
site_D1_bins_4	{'Translation table': 11, 'GC std': 0.00993471582147381, '# ambiguous bases': 0, 'Genome size': 623602, 'Longest contig': 7153, 'N50 (scaffolds)': 3571, 'Mean scaffold length': 3668.247058823529, '# contigs': 170, '# scaffolds': 170, '# predicted genes': 761, 'Longest scaffold': 7153, 'GC': 0.5270733576864731, 'N50 (contigs)': 3571, 'Coding density': 0.9444116600010904, 'Mean contig length': 3668.247058823529}
site_D1_bins_2	{'Translation table': 11, 'GC std': 0.017676785164563245, '# ambiguous bases': 0, 'Genome size': 1490072, 'Longest contig': 128464, 'N50 (scaffolds)': 51297, 'Mean scaffold length': 26141.614035087718, '# contigs': 57, '# scaffolds': 57, '# predicted genes': 1312, 'Longest scaffold': 128464, 'GC': 0.540674544585765, 'N50 (contigs)': 51297, 'Coding density': 0.9374520157415213, 'Mean contig length': 26141.614035087718}
site_D1_bins_5	{'Translation table': 11, 'GC std': 0.014863345672088803, '# ambiguous bases': 0, 'Genome size': 972959, 'Longest contig': 24166, 'N50 (scaffolds)': 4635, 'Mean scaffold length': 4611.18009478673, '# contigs': 211, '# scaffolds': 211, '# predicted genes': 1098, 'Longest scaffold': 24166, 'GC': 0.3924348302446455, 'N50 (contigs)': 4635, 'Coding density': 0.9619418701096346, 'Mean contig length': 4611.18009478673}
site_D1_bins_3	{'Translation table': 11, 'GC std': 0.01874654823939001, '# ambiguous bases': 0, 'Genome size': 2077637, 'Longest contig': 24320, 'N50 (scaffolds)': 6400, 'Mean scaffold length': 5661.136239782017, '# contigs': 367, '# scaffolds': 367, '# predicted genes': 2131, 'Longest scaffold': 24320, 'GC': 0.4506783427518859, 'N50 (contigs)': 6400, 'Coding density': 0.9470167310266423, 'Mean contig length': 5661.136239782017}
site_D1_bins_9	{'Translation table': 11, 'GC std': 0.015040644937139051, '# ambiguous bases': 0, 'Genome size': 830122, 'Longest contig': 12868, 'N50 (scaffolds)': 4133, 'Mean scaffold length': 4089.270935960591, '# contigs': 203, '# scaffolds': 203, '# predicted genes': 953, 'Longest scaffold': 12868, 'GC': 0.6163636188415679, 'N50 (contigs)': 4133, 'Coding density': 0.924776117245417, 'Mean contig length': 4089.270935960591}
site_D1_bins_7	{'Translation table': 11, 'GC std': 0.022736310207955857, '# ambiguous bases': 0, 'Genome size': 2259522, 'Longest contig': 17102, 'N50 (scaffolds)': 4851, 'Mean scaffold length': 4639.675564681725, '# contigs': 487, '# scaffolds': 487, '# predicted genes': 2129, 'Longest scaffold': 17102, 'GC': 0.6208330788547313, 'N50 (contigs)': 4851, 'Coding density': 0.9119552719557499, 'Mean contig length': 4639.675564681725}
site_D1_bins_6	{'Translation table': 11, 'GC std': 0.03210003609815987, '# ambiguous bases': 0, 'Genome size': 4805033, 'Longest contig': 38905, 'N50 (scaffolds)': 4308, 'Mean scaffold length': 4336.672382671481, '# contigs': 1108, '# scaffolds': 1108, '# predicted genes': 5986, 'Longest scaffold': 38905, 'GC': 0.3251532299570055, 'N50 (contigs)': 4308, 'Coding density': 0.9617748723057677, 'Mean contig length': 4336.672382671481}
site_D1_bins_8	{'Translation table': 11, 'GC std': 0.01750445330028798, '# ambiguous bases': 0, 'Genome size': 2656541, 'Longest contig': 56573, 'N50 (scaffolds)': 6408, 'Mean scaffold length': 5762.561822125814, '# contigs': 461, '# scaffolds': 461, '# predicted genes': 3536, 'Longest scaffold': 56573, 'GC': 0.34266965953094647, 'N50 (contigs)': 6408, 'Coding density': 0.9296295445844803, 'Mean contig length': 5762.561822125814}
